month_date,merch_state,accommodation_cost,attraction_cost,breakfast_lunch_cost,dinner_cost,median_meal_cost,retail_cost,cost_per_trip
2024-10-01,NY,251.27000427246097,17.600000381469727,17.079999923706055,35.04999923706055,24.190000534057617,37.15999984741211,750.4800071716309
2024-11-01,NY,239.8999938964844,16.700000762939453,17.170000076293945,36.15999984741211,24.559999465942383,42.93000030517578,740.0599899291992
2024-12-01,NY,242.19000244140625,17.139999389648438,19.3700008392334,40.84000015258789,27.940000534057617,46.709999084472656,771.2400054931641
2025-01-01,NY,208.91000366210935,16.3799991607666,17.709999084472656,35.959999084472656,25.040000915527344,36.7400016784668,666.8200035095215
2025-02-01,NY,212.08999633789065,17.25,16.940000534057617,35.029998779296875,24.170000076293945,37.5,671.4999923706055
2025-03-01,NY,229.83999633789065,19.959999084472656,17.010000228881836,34.63999938964844,24.0,38.4900016784668,713.8999938964844
2025-04-01,NY,226.25,24.6299991607666,16.809999465942383,34.40999984741211,23.84000015258789,42.369998931884766,722.5599937438965
2025-05-01,NY,241.42999267578125,24.350000381469727,17.920000076293945,36.959999084472656,25.739999771118164,42.470001220703125,762.0999870300293
2025-06-01,NY,253.5099945068359,21.579999923706055,18.719999313354492,38.369998931884766,26.61000061035156,41.31999969482422,784.4399833679199
2025-07-01,NY,257.7900085449219,18.950000762939453,18.540000915527344,39.04999923706055,26.649999618530273,42.06999969482422,789.8800201416016
2025-08-01,NY,241.27000427246097,20.5,18.6299991607666,39.209999084472656,26.670000076293945,46.45000076293945,769.3800048828125
2025-09-01,NY,255.17999267578125,20.93000030517578,16.719999313354492,34.95000076293945,23.75,44.11000061035156,777.2199859619141
2025-10-01,NY,266.94000244140625,18.450000762939453,16.90999984741211,36.220001220703125,24.399999618530273,45.86000061035156,802.5800094604492
2024-01-01,OH,190.72000122070312,20.469999313354492,19.760000228881836,36.029998779296875,26.719999313354492,27.8799991607666,629.2399978637695
2024-02-01,OH,207.38999938964844,22.059999465942383,18.719999313354492,35.560001373291016,25.75,32.25,669.3999977111816
2024-03-01,OH,206.32000732421875,28.510000228881836,18.829999923706055,36.189998626708984,26.1299991607666,46.779998779296875,710.9200096130371
2024-04-01,OH,224.75,28.770000457763672,18.719999313354492,36.11000061035156,26.059999465942383,45.869998931884766,745.879997253418
2024-05-01,OH,214.94000244140625,27.450000762939453,20.489999771118164,38.13999938964844,28.209999084472656,45.849998474121094,734.7200012207031
2024-06-01,OH,217.3500061035156,30.729999542236328,20.68000030517578,38.869998931884766,28.75,42.43000030517578,741.4800109863281
2024-07-01,OH,227.3500061035156,27.8700008392334,21.399999618530273,40.38999938964844,29.88999938964844,44.2599983215332,765.3400077819824
2024-08-01,OH,212.6699981689453,25.299999237060547,20.3700008392334,38.290000915527344,28.079999923706055,44.439998626708984,722.879997253418
2024-09-01,OH,212.3999938964844,16.690000534057617,18.780000686645508,35.689998626708984,25.780000686645508,43.65999984741211,691.9999885559082
2024-10-01,OH,210.83999633789065,16.170000076293945,19.38999938964844,36.849998474121094,26.649999618530273,43.650001525878906,692.579990386963
2024-11-01,OH,198.27000427246097,19.829999923706055,19.239999771118164,36.95000076293945,26.59000015258789,40.91999816894531,668.9000053405762
2024-12-01,OH,185.1199951171875,18.670000076293945,20.690000534057617,39.40999984741211,28.59000015258789,40.689998626708984,650.5399894714355
2025-01-01,OH,193.30999755859375,17.270000457763672,18.65999984741211,35.970001220703125,25.729999542236328,38.470001220703125,644.6800003051758
2025-02-01,OH,193.47000122070312,17.489999771118164,18.059999465942383,35.45000076293945,25.489999771118164,38.75,642.560001373291
2025-03-01,OH,207.1199951171875,22.670000076293945,19.1200008392334,37.060001373291016,26.440000534057617,48.36000061035156,706.8999977111816
2025-04-01,OH,207.94000244140625,22.030000686645508,18.719999313354492,36.529998779296875,26.079999923706055,56.40999984741211,720.7000007629395
2025-05-01,OH,218.8300018310547,22.479999542236328,20.540000915527344,39.060001373291016,28.38999938964844,55.95000076293945,754.8000106811523
2025-06-01,OH,222.42999267578125,29.18000030517578,21.56999969482422,40.61000061035156,29.84000015258789,52.119998931884766,774.9599838256836
2025-07-01,OH,227.5399932861328,27.209999084472656,22.209999084472656,41.470001220703125,30.670000076293945,53.75,788.7799835205078
2025-08-01,OH,212.8300018310547,24.799999237060547,20.510000228881836,39.40999984741211,28.6299991607666,56.849998474121094,749.8199996948242
2025-09-01,OH,218.08999633789065,15.130000114440918,18.86000061035156,36.2400016784668,26.1200008392334,56.47999954223633,727.3199977874756
2025-10-01,OH,210.4600067138672,17.8799991607666,20.11000061035156,38.970001220703125,27.809999465942383,58.279998779296875,731.6200141906738
2024-01-01,OK,150.11000061035156,26.829999923706055,14.56999969482422,28.950000762939453,20.190000534057617,42.63999938964844,555.3400001525879
2024-02-01,OK,152.5800018310547,26.56999969482422,14.609999656677246,29.40999984741211,20.3799991607666,44.16999816894531,563.8999977111816
2024-03-01,OK,158.08999633789062,28.299999237060547,15.420000076293944,31.309999465942383,21.709999084472656,42.650001525878906,582.3799934387207
2024-04-01,OK,160.72999572753906,24.309999465942383,14.31999969482422,28.65999984741211,19.90999984741211,42.79999923706055,570.2799873352051
2024-05-01,OK,166.99000549316406,26.38999938964844,15.100000381469728,30.6299991607666,21.309999465942383,41.720001220703125,591.8600120544434
2024-06-01,OK,168.25999450683594,26.260000228881836,15.649999618530272,31.600000381469727,22.06999969482422,40.189998626708984,595.2199859619141
2024-07-01,OK,163.7899932861328,27.479999542236328,15.5600004196167,31.760000228881836,22.030000686645508,40.88999938964844,590.0799865722656
2024-08-01,OK,161.72000122070312,24.65999984741211,14.640000343322754,29.34000015258789,20.40999984741211,41.810001373291016,573.6200065612793
2024-09-01,OK,158.17999267578125,24.479999542236328,14.43000030517578,28.68000030517578,20.06999969482422,39.380001068115234,559.1599884033203
