census_region_division,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
Middle Atlantic,2025-04-01,211.36000061035156,11198,7030,62.049999237060547,1583.3599853515625,133.35000610351562,385.20001220703125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-04-01,194.71000671386719,36130,20769,60.430000305175781,1545.4100341796875,117.90000152587891,365.95001220703125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-04-01,224.33999633789062,4041,2796,61.319999694824219,1613.31005859375,131.52000427246094,387.94000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-04-01,218.52000427246094,31181,17866,59.689998626708984,1968.31005859375,125.73000335693359,415.3800048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-04-01,209.17999267578125,46335,26011,60.799999237060547,2281.489990234375,126.47000122070312,404.10000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-04-01,183.38999938964844,23516,13812,60.560001373291016,972.54998779296875,119.87999725341797,306.32998657226562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-04-01,181.92999267578125,29169,15918,56.970001220703125,1414.699951171875,113.51999664306641,339.67999267578125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-05-01,201.94999694824219,26565,16237,60.200000762939453,1240.0400390625,127.41999816894531,349.45001220703125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-05-01,186.77999877929688,19375,11714,58.819999694824219,1264.989990234375,116.20999908447266,318.64999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-05-01,219.6199951171875,12620,7931,61.060001373291016,1757.5799560546875,137.49000549316406,397.60000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-05-01,193.55999755859375,35581,20848,60.029998779296875,1504.6400146484375,117.91999816894531,349.5,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-05-01,238.30999755859375,4379,3041,62.0099983215332,1746.199951171875,139.30000305175781,427.82000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-05-01,230.8699951171875,30283,17813,61.159999847412109,2016.02001953125,133.03999328613281,431.41000366210938,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-05-01,205.72000122070312,45216,26256,59.430000305175781,2355.969970703125,121.84999847412109,394.76998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-05-01,185.64999389648438,24242,14545,62.799999237060547,1103.22998046875,122.19999694824219,312.20001220703125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-05-01,180.46000671386719,29860,16610,56.7599983215332,1256.3800048828125,113.73000335693359,315.29000854492188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-06-01,204.39999389648438,36149,21796,60.400001525878906,1305.0699462890625,127.01999664306641,361.260009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-06-01,185.77000427246094,26234,15643,59.110000610351562,1330.4599609375,115.65000152587891,332.29000854492188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-06-01,230.08999633789062,17114,10453,61.659999847412109,1863.6800537109375,139.8800048828125,412.60000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-06-01,199.92999267578125,46433,26549,60.770000457763672,1478.780029296875,120.23000335693359,366.79000854492188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-06-01,249.97000122070312,6602,4501,64.3499984741211,1928.719970703125,138.61000061035156,456.27999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-06-01,229.32000732421875,39521,22569,60.5099983215332,2121.06005859375,128.32000732421875,439.07000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-06-01,208.44000244140625,61643,34711,59.680000305175781,2235.7900390625,123.90000152587891,399.67001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-06-01,195.8800048828125,32339,19267,62.450000762939453,1205.469970703125,125.65000152587891,340.010009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-06-01,180.86000061035156,41982,22603,57.400001525878906,1269.6400146484375,110.91000366210938,323.07998657226562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-07-01,213.77999877929688,41735,24464,61.060001373291016,1423.5400390625,132.75,391.8699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-07-01,183.80999755859375,28322,16637,58.349998474121094,1313.9599609375,112.43000030517578,320.95999145507812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-07-01,226.16000366210938,18402,11489,63.779998779296875,1689.219970703125,138.42999267578125,409.1400146484375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-07-01,198.77999877929688,51388,28759,60.189998626708984,1544.3699951171875,121.59999847412109,360.47000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
