merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
AL,2025-01-01,184.47999572753906,322343,1544,58.150001525878906,1229.6099853515625,121.08000183105469,297.1099853515625,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
SC,2025-01-01,194.57000732421875,297446,1600,55.790000915527344,1448.8199462890625,120.75,394.32998657226562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
SD,2025-01-01,155.46000671386719,296538,1252,55.830001831054688,1073.31005859375,109.33000183105469,254.74000549316406,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MD,2025-01-01,198.66999816894531,280996,1278,54.340000152587891,1391.8800048828125,121.13999938964844,342.39999389648438,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
UT,2025-01-01,172.3800048828125,264774,1442,53.560001373291016,1262.5,108.63999938964844,290.6300048828125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NJ,2025-01-01,173.69999694824219,253404,1174,60.150001525878906,984.3699951171875,115.16000366210938,292.98001098632812,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WY,2025-01-01,177.92999267578125,245352,938,72.540000915527344,1080.6099853515625,125.84999847412109,328.989990234375,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WV,2025-01-01,161.72000122070312,238138,945,64.4000015258789,883.97998046875,114.15000152587891,267.17999267578125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NE,2025-01-01,165.44000244140625,211165,981,58.880001068115234,868.66998291015625,114.45999908447266,252.13999938964844,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ID,2025-01-01,162.97000122070312,202347,830,59.909999847412109,937.41998291015625,119.90000152587891,279.1199951171875,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MA,2025-01-01,202.03999328613281,189185,927,56.869998931884766,1219.1400146484375,115.06999969482422,342.64999389648438,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
DC,2025-01-01,352.55999755859375,147397,659,60.909999847412109,2642.25,164.78999328613281,755.1300048828125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ND,2025-01-01,177.08999633789062,144956,690,68.889999389648438,807.69000244140625,122.41999816894531,287.48001098632812,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CT,2025-01-01,202.30000305175781,97814,694,58.669998168945312,1016.0999755859375,104.33999633789062,347.05999755859375,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NH,2025-01-01,219.1199951171875,48611,359,56.119998931884766,1369.4300537109375,138.44999694824219,404.08999633789062,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
VT,2025-01-01,244.0,36488,218,67.389999389648438,1279.1400146484375,154.75999450683594,560.0,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ME,2025-01-01,166.66999816894531,33255,252,54.0099983215332,1528.31005859375,106.30000305175781,342.6300048828125,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
DE,2025-01-01,170.47000122070312,32153,211,58.659999847412109,1394.0400390625,107.68000030517578,286.48001098632812,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
RI,2025-01-01,226.85000610351562,15962,87,61.869998931884766,1132.0699462890625,159.16999816894531,320.04000854492188,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
